1	1	5	978300760
1	1	3	978302109
1	1	3	978301968
1	3408	4	978300275
1	2355	5	978824291
1	1	3	978302268
1	1	5	978302039
1	2804	5	978300719
1	594	4	978302268
1	919	4	978301368
1	595	5	978824268
1	938	4	978301752
1	2398	4	978302281
1	2918	4	978302124
1	1035	5	978301753
1	2791	4	978302188
1	2687	3	978824268
1	2018	4	978301777
1	3105	5	978301713
1	2797	4	978302039
1	2321	3	978302205
1	720	3	978300760
1	1270	5	978300055
1	527	5	978824195
1	2340	3	978300103
1	48	5	978824351
1	1097	4	978301953
1	1721	4	978300055
1	1545	4	978824139
1	745	3	978824268
1	2294	4	978824291
1	3186	4	978300019
1	1566	4	978824330
1	588	4	978824268
1	1907	4	978824330
1	783	4	978824291
1	1836	5	978300172
1	1022	5	978300055
1	2762	4	978302091
1	150	5	978301777
1	1	5	978824268
1	1961	5	978301590
1	1962	4	978301753
1	2692	4	978301570
1	260	4	978300760
1	1028	5	978301777
1	1029	5	978302205
1	1207	4	978300719
1	2028	5	978301619
1	531	4	978302149
1	3114	4	978302174
1	608	4	978301398
1	1246	4	978302091
2	1357	5	978298709
2	3068	4	978299000
2	1537	4	978299620
2	647	3	978299351
2	2194	4	978299297
2	648	4	978299913
2	2268	5	978299297
2	2628	3	978300051
2	1103	3	978298905
2	2916	3	978299809
2	3468	5	978298542
2	1210	4	978298151
2	1792	3	978299941
2	1687	3	978300174
2	1213	2	978298458
2	3578	5	978298958
2	2881	3	978300002
2	3030	4	978298434
2	1217	3	978298151
2	3105	4	978298673
2	434	2	978300174
2	2126	3	978300123
2	3107	2	978300002
2	3108	3	978299712
2	3035	4	978298625
2	1253	3	978299120
2	1610	5	978299809
2	292	3	978300123
2	2236	5	978299220
2	3071	4	978299120
2	902	2	978298905
2	368	4	978300002
2	1259	5	978298841
2	3147	5	978298652
2	1544	4	978300174
2	1293	5	978298261
2	1188	4	978299620
2	3255	4	978299321
2	3256	2	978299839
2	3257	3	978300073
2	589	5	978298625
2	589	3	978299889
2	589	3	978299966
2	589	4	978298813
2	589	5	978298814
2	589	4	978299773
