32;25;1;33;23;3;0
32;25;1;34;26;2;0
32;25;1;35;27;3;0
32;25;1;36;28;2;0
32;25;1;31;24;1;0
32;25;1;37;29;2;0
32;25;1;38;30;1;0
32;25;1;39;31;1;0
32;25;1;40;32;1;0
32;25;1;67;47;3;0
80;17;1;71;50;1;1
80 71;17 50;1 1;81;55;2;0
80 71;17 50;1 1;80;17;1;0
80 71;17 50;1 1;71;50;2;0
80 71;17 50;1 1;82;56;3;0
91;22;3;92;46;3;0
91;22;3;106;66;2;0
91;22;3;107;46;2;0
91;22;3;108;72;3;0
91;22;3;98;28;2;1
91 98;22 28;3 2;107;46;2;0
91 98;22 28;3 2;109;73;2;0
91 98;22 28;3 2;91;22;3;0
91 98;22 28;3 2;109;73;3;0
91 98;22 28;3 2;91;22;1;0
113;75;2;114;76;2;0
113;75;2;115;77;1;0
113;75;2;116;78;1;0
113;75;2;117;45;1;1
113 117;75 45;2 1;118;44;1;0
113 117;75 45;2 1;119;49;2;0
113 117;75 45;2 1;123;81;1;0
113 117;75 45;2 1;124;82;2;0
113 117;75 45;2 1;115;77;2;0
113 117;75 45;2 1;125;45;1;1
113 117 125;75 45 45;2 1 1;126;83;1;0
113 117 125;75 45 45;2 1 1;117;45;1;0
113 117 125;75 45 45;2 1 1;130;75;1;0
113 117 125;75 45 45;2 1 1;131;75;2;1
113 117 125 131;75 45 45 75;2 1 1 2;132;87;1;0
113 117 125 131;75 45 45 75;2 1 1 2;133;44;2;0
113 117 125 131;75 45 45 75;2 1 1 2;124;82;1;0
113 117 125 131;75 45 45 75;2 1 1 2;143;22;1;0
113 117 125 131;75 45 45 75;2 1 1 2;144;87;1;0
113 117 125 131;75 45 45 75;2 1 1 2;145;92;1;1
113 117 125 131 145;75 45 45 75 92;2 1 1 2 1;137;90;1;0
113 117 125 131 145;75 45 45 75 92;2 1 1 2 1;146;28;1;0
113 117 125 131 145;75 45 45 75 92;2 1 1 2 1;133;44;1;0
113 117 125 131 145;75 45 45 75 92;2 1 1 2 1;147;93;2;0
113 117 125 131 145;75 45 45 75 92;2 1 1 2 1;143;22;2;0
113 117 125 131 145;75 45 45 75 92;2 1 1 2 1;156;4;1;1
113 117 125 131 145 156;75 45 45 75 92 4;2 1 1 2 1 1;157;100;1;0
113 117 125 131 145 156;75 45 45 75 92 4;2 1 1 2 1 1;158;64;3;0
113 117 125 131 145 156;75 45 45 75 92 4;2 1 1 2 1 1;159;101;1;0
113 117 125 131 145 156;75 45 45 75 92 4;2 1 1 2 1 1;160;102;3;0
113 117 125 131 145 156;75 45 45 75 92 4;2 1 1 2 1 1;163;22;1;0
113 117 125 131 145 156;75 45 45 75 92 4;2 1 1 2 1 1;134;88;2;1
