0,17978,0
0,901,1
0,97224,2
0,774,3
0,85757,4
0,74974,5
0,233838,6
0,13463,7
0,19191,8
0,205231,9
0,336407,10
0,15086,11
0,170404,12
0,62564,13
0,17895,14
0,83315,15
0,465,16
0,52444,17
1,2751,0
1,5179,1
1,4388,2
1,727,3
1,277,4
1,59076,5
2,76,0
2,5653,1
2,8524,2
2,13286,3
2,3354,4
2,24,5
3,329854,0
3,171233,1
3,260671,2
3,26839,3
3,106437,4
4,1303,0
4,136128,1
4,169956,2
4,948,3
4,9794,4
4,14789,5
4,244343,6
4,51952,7
4,1510,8
4,31552,9
4,4174,10
4,275874,11
4,44549,12
4,12120,13
4,91273,14
4,82698,15
4,62439,16
4,71486,17
4,16451,18
4,16920,19
4,226447,20
4,108475,21
4,288380,22
4,75759,23
4,96964,24
4,170480,25
4,86904,26
4,25205,27
4,6708,28
4,331034,29
4,198097,30
4,78962,31
4,333196,32
4,35734,33
4,173647,34
4,264016,35
4,203723,36
4,101033,37
4,112505,38
4,25198,39
4,232023,40
4,39856,41
4,45818,42
4,135741,43
4,107235,44
4,10173,45
4,19210,46
4,165930,47
4,52595,48
4,30497,49
4,119359,50
4,43250,51
4,282262,52
4,254213,53
4,185465,54
4,44562,55
4,45901,56
4,42105,57
4,64907,58
4,331032,59
4,112543,60
4,132811,61
4,59729,62
4,10314,63
4,232262,64
4,288726,65
4,42053,66
4,145886,67
4,169505,68
4,5412,69
4,53780,70
4,189940,71
4,254154,72
4,157383,73
4,185970,74
4,56949,75
4,252344,76
4,333405,77
4,204689,78
4,71508,79
4,204687,80
4,68637,81
4,136191,82
4,21445,83
4,226831,84
4,260975,85
4,226825,86
4,286622,87
4,71488,88
4,145461,89
4,170200,90
4,226838,91
4,252561,92
4,170451,93
4,157381,94
4,141778,95
4,203636,96
4,286632,97
5,103,0
5,4928,1
5,54758,2
5,2128,3
5,12863,4
5,5434,5
5,2790,6
5,122,7
5,1256,8
5,6410,9
5,1062,10
5,2470,11
6,30139,0
6,33913,1
6,23632,2
6,2566,3
6,3617,4
6,4517,5
6,14394,6
6,71897,7
6,5755,8
6,3888,9
6,18526,10
6,18054,11
6,36684,12
6,15324,13
6,43627,14
7,2376,0
7,283,1
7,4909,2
7,340683,3
7,49980,4
7,49684,5
7,1581,6
7,105083,7
7,24701,8
7,108732,9
7,99784,10
7,7741,11
7,8370,12
7,368,13
7,413,14
7,8435,15
8,4274,0
8,30960,1
8,38001,2
8,268592,3
8,1602,4
9,8229,0
9,53605,1
9,6414,2
9,20425,3
9,1567,4
9,18337,5
9,19047,6
9,194904,7
9,1905,8
9,3491,9
10,102122,0
10,179349,1
10,20217,2
10,202280,3
10,223945,4
10,186225,5
10,257017,6
10,72631,7
11,68975,0
11,86010,1
11,1932,2
11,299460,3
11,174692,4
11,238704,5
11,37147,6
11,24107,7
11,417,8
11,103653,9
12,1452,0
12,5059,1
12,12553,2
12,15576,3
12,31080,4
13,50670,0
13,44833,1
13,50680,2
13,56122,3
13,147851,4
14,6226,0
14,18179,1
14,137266,2
14,2244,3
14,17238,4
14,247971,5
14,4850,6
14,3572,7
14,1710,8
14,54,9
14,28419,10
14,7730,11
14,26601,12
14,195,13
14,3051,14
14,169212,15
14,18905,16
15,459,0
15,188,1
15,327,2
15,214,3
15,646,4
15,903,5
15,22155,6
15,17794,7
15,4108,8
15,19,9
15,1443,10
15,732,11
15,996,12
15,457,13
15,1682,14
15,13755,15
15,5787,16
15,3879,17
15,43,18
15,4487,19
16,77636,0
16,35489,1
16,37171,2
16,9688,3
16,48396,4
16,961,5
16,63077,6
16,16488,7
16,7459,8
16,87489,9
16,51152,10
16,7251,11
16,152338,12
16,60772,13
17,8587,0
17,188911,1
17,15311,2
17,60641,3
17,122751,4
17,50924,5
18,240743,0
18,271610,1
18,271630,2
18,271646,3
18,164207,4
18,164456,5
18,85022,6
19,125868,0
19,225760,1
19,166785,2
19,43017,3
19,30796,4
19,126208,5
19,483,6
19,10783,7
19,43043,8
19,75672,9
19,315339,10
19,32123,11
19,133358,12
19,72409,13
19,259841,14
19,27301,15
19,29227,16
19,448,17
