2	275
2	428
2	515
2	761
2	831
2	909
2	1209
2	1210
2	1230
2	1327
2	1585
2	1625
2	1869
3	78
3	255
3	460
3	837
3	1740
3	1801
3	1975
4	99
4	124
4	211
4	264
4	493
4	520
4	534
4	850
4	1103
4	2080
5	228
5	725
5	831
5	1271
5	1310
5	1481
5	1785
6	149
6	831
6	1271
6	1697
6	1761
7	46
7	232
7	390
7	545
7	815
7	873
7	1002
7	1135
7	1184
7	1308
7	1453
7	1466
7	1649
7	1666
7	1734
7	2020
7	2037
7	2061
8	339
8	370
8	419
8	749
8	831
8	1017
8	1178
8	1515
8	1568
8	1811
8	1813
9	743
9	831
9	1956
10	1196
10	1498
10	1530
10	1562
10	1986
11	12
11	25
11	129
11	136
11	145
11	230
11	278
11	405
11	684
11	795
11	804
11	816
11	859
11	984
11	1017
11	1132
11	1136
11	1178
11	1179
11	1189
11	1310
